Source: https://github.com/rffscghg/MimiIWG.jl/: MimiIWG/data/IWG_inputs/DICE/CH4N20emissions_annualversion.xls in N2Oannual Tab Units of MtN2O,,,,,
Year,IMAGE,MERGE,MESSAGE,MiniCAM,Scen5
2092,9.41248,13.07790876,11.74,17.04261095,9.492960142
2093,9.4098225,13.07790876,11.615,17.03012531,9.464110423
2094,9.407165,13.07790876,11.49,17.01763967,9.435260704
2095,9.4045075,13.07790876,11.365,17.00515403,9.406410985
2096,9.40185,13.07790876,11.24,16.99266839,9.377561266
2097,9.3991925,13.07790876,11.115,16.98018274,9.348711547
2098,9.396535,13.07790876,10.99,16.9676971,9.319861828
2099,9.3938775,13.07790876,10.865,16.95521146,9.291012109
2100,9.39122,13.07790876,10.74,16.94272582,9.26216239
2101,9.117259168,12.64740965,10.61300792,16.30666108,9.074864168
2102,8.843298335,12.21691053,10.48601585,15.67059634,8.887565946
2103,8.569337503,11.78641141,10.35902377,15.0345316,8.700267725
2104,8.29537667,11.3559123,10.23203169,14.39846686,8.512969503
2105,8.021415838,10.92541318,10.10503961,13.76240212,8.325671281
2106,7.747455006,10.49491406,9.978047538,13.12633737,8.138373059
2107,7.473494173,10.06441495,9.851055461,12.49027263,7.951074837
2108,7.199533341,9.633915829,9.724063384,11.85420789,7.763776615
2109,6.925572508,9.203416712,9.597071307,11.21814315,7.576478394
2110,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2111,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2112,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2113,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2114,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2115,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2116,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2117,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2118,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2119,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2120,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2121,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2122,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2123,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2124,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2125,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2126,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2127,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2128,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2129,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2130,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2131,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2132,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2133,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
