Source: https://github.com/rffscghg/MimiIWG.jl/: MimiIWG/data/IWG_inputs/DICE/CH4N20emissions_annualversion.xls in CH4annual Tab Units of MtCH4,,,,,
Year,IMAGE,MERGE,MESSAGE,MiniCAM,Scen5
2095,604.72015,535.8828205,488.28,446.5549978,265.9573614
2096,607.22556,538.7112425,487.94,446.7423164,266.2139368
2097,609.73097,541.5396645,487.6,446.929635,266.4705122
2098,612.23638,544.3680865,487.26,447.1169536,266.7270876
2099,614.74179,547.1965085,486.92,447.3042722,266.983663
2100,617.2472,550.0249305,486.58,447.4915908,267.2402384
2101,614.2012527,546.8039987,486.6382989,447.2865558,267.1328127
2102,611.1553055,543.583067,486.6965979,447.0815209,267.0253871
2103,608.1093582,540.3621353,486.7548968,446.8764859,266.9179614
2104,605.0634109,537.1412035,486.8131957,446.6714509,266.8105358
2105,602.0174636,533.9202718,486.8714947,446.4664159,266.7031101
2106,598.9715164,530.69934,486.9297936,446.2613809,266.5956845
2107,595.9255691,527.4784083,486.9880925,446.056346,266.4882588
2108,592.8796218,524.2574765,487.0463915,445.851311,266.3808332
2109,589.8336746,521.0365448,487.1046904,445.646276,266.2734075
2110,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2111,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2112,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2113,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2114,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2115,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2116,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2117,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2118,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2119,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2120,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2121,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2122,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2123,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2124,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2125,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2126,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2127,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2128,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2129,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2130,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2131,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2132,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2133,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2134,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2135,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2136,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2137,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2138,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2139,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2140,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2141,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2142,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2143,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2144,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2145,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2146,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2147,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2148,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2149,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2150,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2151,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2152,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2153,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2154,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2155,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2156,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2157,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2158,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2159,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2160,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2161,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2162,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2163,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2164,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2165,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2166,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2167,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2168,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2169,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2170,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2171,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2172,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2173,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2174,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2175,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2176,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2177,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2178,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2179,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2180,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2181,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2182,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2183,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2184,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2185,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2186,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2187,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2188,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2189,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2190,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2191,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2192,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2193,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2194,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2195,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2196,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2197,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2198,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2199,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2200,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2201,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2202,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2203,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2204,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2205,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2206,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2207,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2208,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2209,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2210,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2211,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2212,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2213,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2214,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2215,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2216,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2217,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2218,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2219,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2220,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2221,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2222,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2223,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2224,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2225,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2226,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2227,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2228,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2229,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2230,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2231,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2232,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2233,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2234,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2235,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2236,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2237,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2238,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2239,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2240,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2241,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2242,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2243,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2244,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2245,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2246,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2247,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2248,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2249,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2250,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2251,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2252,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2253,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2254,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2255,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2256,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2257,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2258,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2259,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2260,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2261,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
